source	target	distance_nm
ARBH	NEUN	427.79
ARBH	NHDH	1071.69
ARBH	NJBI	931.13
ARBH	NJHK	939.52
ARBH	NJLL	876.18
ARBH	NJRW	914.61
ARBH	NJSB	926.00
ARBH	NJUH	931.13
ARBH	NMAQ	707.54
ARBH	NMPH	707.54
ARBH	NVUM	1119.88
ARBH	NYAM	987.76
ARBH	NYCC	945.77
ARBH	NYCP	937.99
ARBH	NYDS	939.43
ARBH	NYEC	794.52
ARBH	NYFL	850.07
ARBH	NYMA	945.86
ARBH	NYMS	937.99
ARBH	NYNS	952.81
ARBH	NYNY	937.99
ARBH	NYSB	979.35
ARBH	NYUC	937.99
ARBH	NYUM	902.67
ARBH	NYVA	945.86
ARBH	NYWC	954.40
ARBH	OHCC	643.99
ARBH	OHCH	542.90
ARBH	OHCM	455.99
ARBH	OHCO	585.26
ARBH	OHOU	542.90
ARBH	OHTC	455.99
ARBH	OHUC	455.99
ARBH	OHUH	643.99
ARBH	OKBC	260.69
ARBH	OKCM	260.69
ARBH	OKMD	260.69
ARBH	OKSJ	200.13
ARBH	ORGS	1527.07
ARBH	ORSV	1527.07
ARBH	ORUO	1527.07
ARBH	ORVA	1527.07
ARBH	PAAE	874.37
ARBH	PAAG	677.55
ARBH	PACH	677.55
ARBH	PACP	874.37
ARBH	PAGM	830.95
ARBH	PAHE	815.07
ARBH	PAHH	804.49
ARBH	PAHM	874.37
ARBH	PALV	872.27
ARBH	PAPH	724.79
ARBH	PAPT	677.55
ARBH	PASC	874.37
ARBH	PATJ	874.37
ARBH	PATU	874.37
ARBH	PAUP	874.37
ARBH	PAVA	677.55
ARBH	PRCC	1704.66
ARBH	PRSJ	1709.19
ARBH	RIRH	1069.36
ARBH	SCCH	627.79
ARBH	SCLA	568.70
ARBH	SCMU	627.79
ARBH	SCPG	488.06
ARBH	SDMK	567.84
ARBH	SDSV	567.84
ARBH	TNBM	112.84
ARBH	TNEM	344.53
ARBH	TNLB	112.84
ARBH	TNMH	112.84
ARBH	TNST	283.09
ARBH	TNUK	416.57
ARBH	TNVU	283.09
ARBH	TXAS	279.03
ARBH	TXBC	449.47
ARBH	TXCF	279.03
ARBH	TXCM	254.44
ARBH	TXCT	385.62
ARBH	TXDC	495.01
ARBH	TXDL	385.62
ARBH	TXDM	385.62
ARBH	TXDR	591.43
ARBH	TXDS	385.62
ARBH	TXFW	279.03
ARBH	TXHD	254.44
ARBH	TXHH	338.12
ARBH	TXHI	338.12
ARBH	TXHS	449.47
ARBH	TXJS	351.01
ARBH	TXLM	480.24
ARBH	TXLP	735.17
ARBH	TXMC	254.44
ARBH	TXMH	338.12
ARBH	TXPL	279.03
ARBH	TXPM	254.44
ARBH	TXSP	254.44
ARBH	TXSW	337.45
ARBH	TXTC	338.12
ARBH	TXTX	254.44
ARBH	TXUC	449.47
ARBH	TXVA	338.12
ARBH	UTLD	994.97
ARBH	UTMC	996.33
ARBH	UTPC	996.33
ARBH	VACH	789.25
ARBH	VAFH	767.72
ARBH	VAHD	739.50
ARBH	VAMC	739.50
ARBH	VAMV	739.50
ARBH	VANG	789.25
ARBH	VAUV	696.13
ARBH	VTMC	1055.34
ARBH	WACH	1549.33
ARBH	WASH	1366.45
ARBH	WASM	1549.33
ARBH	WAUW	1549.33
ARBH	WAVM	1549.33
ARBH	WICH	538.71
ARBH	WISE	538.71
ARBH	WISL	538.71
ARBH	WIUW	518.63
